	SentenceId	Clause Text	Codes	ExperimentValues	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	fig_spans
0	s1	The Telomeric Protein TRF2 Binds the ATM Kinase and Can Inhibit the ATM-Dependent DNA Damage Response	[]		-		FALSE	result	240	341	
1	s2	The telomeric protein TRF2 is required	[]		p0		FALSE	fact	1214	1252	
2	s2	to prevent mammalian telomeres from activating DNA damage checkpoints .	[]		p0		FALSE	fact	1253	1323	
3	s3	Here we show	[]		p0		FALSE	result	1324	1336	
4	s3	that overexpression of TRF2 affects the response of the ATM kinase to DNA damage .	[]		p0		FALSE	result	1337	1418	
5	s4	"Overexpression of TRF2 abrogated the cell cycle arrest after ionizing radiation and diminished several other readouts of the DNA damage response , including phosphorylation of Nbs1 , induction of p53 , and upregulation of p53 targets ."	[]		p0		FALSE	result	1419	1650	
6	s5	"TRF2 inhibited autophosphorylation of ATM on S1981 , an early step in the activation of this kinase ."	[]		p0		FALSE	result	1651	1750	
7	s6	A region of ATM containing S1981 was found to directly interact with TRF2 in vitro	[]		p0		FALSE	result	1751	1833	
8	s6	and ATM immunoprecipitates contained TRF2 .	[]		p0		FALSE	result	1834	1877	
9	s7	We propose	[]		p0		FALSE	hypothesis	1878	1888	
10	s7	that TRF2 has the ability to inhibit ATM activation at telomeres .	[]		p0		FALSE	hypothesis	1889	1954	
11	s8	Because TRF2 is abundant at chromosome ends but not elsewhere in the nucleus	[]		p0		FALSE	result	1955	2031	
12	s8	this mechanism of checkpoint control could specifically block a DNA damage response at telomeres without affecting the surveillance of chromosome internal damage .	[]		p0		FALSE	hypothesis	2032	2195	
13	s9	"The human telomere-associated protein TRF2 inhibits ATM kinase ,"	[]		p1		FALSE	result	2196	2259	
14	s9	suggesting a mechanism by which the telomeric protein complex prevents the activation of this DNA damage response transducer	[]		p1		FALSE	implication	2260	2384	
15	s10	Introduction	[header-0]		title2	Introduction	FALSE	none	2385	2397	
16	s11	Telomeres prevent	[]		p3	Introduction	FALSE	fact	2398	2415	
17	s11	the recognition of natural chromosome ends as double-stranded breaks ( DSBs ) .	[]		p3	Introduction	FALSE	fact	2416	2492	
18	s12	"When telomeres become dysfunctional due to shortening or loss of protective factors , chromosome ends activate"	[]		p3	Introduction	FALSE	fact	2493	2602	
19	s12	a DNA damage response mediated ( in part ) by the ATM kinase ( Karlseder et al. 1999 ; Takai et al. 2003 ) .	[exLink]		p3	Introduction	FALSE	fact	2603	2705	
20	s13	A major challenge in telomere biology is	[]		p3	Introduction	FALSE	problem	2706	2746	
21	s13	to define the mechanism by which functional telomeres prevent these events .	[]		p3	Introduction	FALSE	problem	2747	2822	
22	s14	Here we show	[]		p3	Introduction	FALSE	implication	2823	2835	
23	s14	"that the human telomere-associated protein TRF2 is an inhibitor of the ATM kinase , suggesting a mechanism by which the telomeric protein complex prevents the activation of this DNA damage response transducer ."	[]		p3	Introduction	FALSE	implication	2836	3044	
24	s15	TRF2 is a small multimeric protein	[]		p4	Introduction	FALSE	fact	3045	3079	
25	s15	"that binds to duplex telomeric ( TTAGGG ) repeats and recruits hRap1 , ERCC1/XPF , WRN , and the Mre11/Rad50/Nbs1 complex to chromosome ends ( Li et al. 2000 ; Zhu et al. 2000 , Zhu et al. 2000 2003 ; Opresko et al. 2002 ; Machwe et al. 2004 ) ."	[exLink]		p4	Introduction	FALSE	fact	3080	3313	
26	s16	"TRF2 can be inhibited with a dominant-negative allele , TRF2DeltaBDeltaM ,"	[]		p4	Introduction	FALSE	fact	3314	3386	
27	s16	which removes the endogenous TRF2 complex from telomeres ( van Steensel et al. 1998 ) .	[exLink]		p4	Introduction	FALSE	fact	3387	3471	
28	s17	"Upon expression of TRF2DeltaBDeltaM , telomeres become uncapped and experience a series of deleterious events , including association with DNA damage response factors such as 53BP1 , cleavage of the telomeric 3 ' overhang by ERCC1/XPF , and telomere-telomere ligation by DNA ligase IV ( van Steensel et al. 1998 ; de Lange 2002 ; Smogorzewska et al. 2002 ; Takai et al. 2003 ; Zhu et al. 2003 ) ."	[exLink]		p4	Introduction	FALSE	fact	3472	3856	
29	s18	"The DNA damage response to uncapped telomeres induces phosphorylation of DNA damage response proteins , including H2AX , SMC1 , Rad17 , CHK1 , and CHK2 , and upregulation of p53 , p21 , and p16 , resulting in a G1 arrest"	[]		p4	Introduction	FALSE	fact	3857	4069	
