	SentenceId	Clause Text	Codes	ExperimentValues	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	fig_spans
0	s1	"Essential Role of Nuclear Factor ( NF ) -kappaB-Inducing Kinase and Inhibitor of kappab ( Ikappab ) Kinase alpha in Nf-kappab Activation through Lymphotoxin beta Receptor , but Not through Tumor Necrosis Factor Receptor I"	[]		-		FALSE	implication	148	363	
1	s2	Both nuclear factor ( NF ) -kappaB-inducing kinase ( NIK ) and inhibitor of kappaB ( IkappaB ) kinase ( IKK ) have been implicated as essential components for NF-kappaB activation in response to many external stimuli .	[]		p4		FALSE	fact	1429	1637	
2	s3	"However , the exact roles of NIK and IKKalpha in cytokine signaling still remain controversial ."	[]		p4		FALSE	problem	1638	1732	
3	s4	"With the use of in vivo mouse models , rather than with enforced gene-expression systems , we have investigated the role of NIK and IKKalpha in"	[]		p4		FALSE	method	1733	1874	
4	s4	"signaling through the type I tumor necrosis factor ( TNF ) receptor ( TNFR-I ) and the lymphotoxin beta receptor ( LTbetaR ) , a receptor essential for lymphoid organogenesis ."	[]		p4		FALSE	method	1875	2043	
5	s5	TNF stimulation induced similar levels of phosphorylation and degradation of IkappaBalpha in embryonic fibroblasts from either wild-type or NIK-mutant mice .	[]		p4		FALSE	result	2044	2200	
6	s6	"In contrast , LTbetaR stimulation induced NF-kappaB activation in wild-type mice , but"	[]		p4		FALSE	result	2201	2285	
7	s6	the response was impaired in embryonic fibroblasts from NIK-mutant and IKKalpha-deficient mice .	[]		p4		FALSE	result	2286	2381	
8	s7	"Consistent with the essential role of IKKalpha in LTbetaR signaling , we found"	[]		p4		FALSE	result	2382	2459	
9	s7	that development of Peyer 's patches was defective in IKKalpha-deficient mice .	[]		p4		FALSE	result	2460	2537	
10	s8	These results demonstrate	[]		p4		FALSE	implication	2538	2563	
11	s8	"that both NIK and IKKalpha are essential for the induction of NF-kappaB through LTbetaR , whereas the NIK-IKKalpha pathway is dispensable in TNFR-I signaling ."	[]		p4		FALSE	implication	2564	2721	
