	SentenceId	Clause Text	Codes	ExperimentValues	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	fig_spans
0	s1	Peli1 facilitates TRIF-dependent Toll-like receptor signaling and proinflammatory cytokine production	[]		-		FALSE	implication	119	220	
1	s2	Toll-like receptors ( TLRs ) play a pivotal role in innate immunity and inflammation .	[]		p3		FALSE	fact	804	887	
2	s3	Here we showed	[]		p3		FALSE	result	888	902	
3	s3	"that genetic deficiency of Peli1 , an E3 ubiquitin ligase , attenuates induction of proinflammatory cytokines by ligands of TLR3 and TLR4 and renders mice resistant to septic shock ."	[]		p3		FALSE	result	903	1082	
4	s4	"Peli1 was required for TLR3-induced activation of IkappaB kinase ( IKK ) and its downstream target transcription factor NF-kappaB , but was dispensable for IKK-NF-kappaB activation induced by several other TLRs and the interleukin-1 receptor ."	[]		p3		FALSE	result	1083	1322	
5	s5	"Notably , Peli1 bound to and ubiquitinated RIP1 , a signaling molecule that mediates IKK activation induced by the TLR3 and TLR4 adaptor TRIF ."	[]		p3		FALSE	result	1323	1463	
6	s6	These findings suggest	[]		p3		FALSE	implication	1464	1486	
7	s6	that Peli1 is a ubiquitin ligase needed for transmission of TRIF-dependent TLR signals .	[]		p3		FALSE	implication	1487	1574	
8	s7	Innate immunity serves as the first line of host defense against infections .	[]		p4		FALSE	fact	1773	1849	
9	s8	Host cells are equipped with pattern-recognition receptors ( PRRs )	[]		p4		FALSE	fact	1850	1915	
10	s8	"that recognize diverse pathogen-associated molecular patterns ( PAMPs ) , such as lipopolysaccharide ( LPS ) , peptidoglycan ( PGN ) , single - and double-stranded RNA , and DNA 1 ."	[exLink]		p4		FALSE	fact	1916	2085	
11	s9	A major family of PRRs is the Toll-like receptor ( TLR ) family .	[]		p4		FALSE	fact	2086	2148	
12	s10	"To date , 10 human and 12 mouse TLRs , each of which recognize distinct PAMPs , have been cloned 2 . For example , TLR4 recognizes LPS derived from the outer membrane of gram-negative bacteria , TLR3 recognizes viral double-stranded RNA as well as the synthetic nucleic acid poly ( I : C ) , whereas TLR9 recognizes unmethylated CpG motifs present in bacterial and viral DNAs 2 . Recognition of PAMPs by TLRs triggers signaling pathways that lead to the production of proinflammatory cytokines , chemokines , and type I interferons ( IFNs ) ."	[exLink]		p4		FALSE	fact	2149	2673	
13	s11	These proteins combat invading pathogens and recruit additional immune cells to the site of infection .	[]		p4		FALSE	fact	2674	2776	
14	s12	TLRs also facilitate induction of	[]		p4		FALSE	fact	2777	2810	
15	s12	costimulatory molecules ( e.g .	[]		p4		FALSE	fact	2811	2840	
16	s13	"CD80 and CD86 ) and MHC class II on dendritic cells and B cells , and stimulate B cell proliferation 3 , 4 ."	[exLink]		p4		FALSE	fact	2841	2945	
17	s14	"A key TLR signaling event is activation of the NF-kappaB family of transcription factors ,"	[]		p5		FALSE	fact	2946	3035	
18	s14	"which mediate induction of various proinflammatory cytokines and many other immune genes 2 , 5 ."	[exLink]		p5		FALSE	fact	3036	3130	
19	s15	"In unstimulated cells , NF-kappaB proteins are sequestered in the cytoplasm by inhibitory proteins , IkappaBs 5 ."	[exLink]		p5		FALSE	fact	3131	3241	
20	s16	"In response to TLR stimuli , IkappaB kinases ( IKKs ) phosphorylate"	[]		p5		FALSE	fact	3242	3306	
21	s16	"IkappaBs , causing their degradation and NF-kappaB nuclear translocation 5 . Another TLR signaling pathway , which is stimulated by TLR3 and TLR4 , involves activation of the IKK-related kinases , IKKepsilon ( also called IKKi ) and TBK1 6 , 7 , which are responsible for activation of IFN-responsive factor 3 ( IRF3 ) , a transcription factor that mediates induction of genes encoding type I IFNs and IFN-responsive factors 2 ."	[exLink]		p5		FALSE	fact	3307	3722	
22	s17	The signaling function of TLRs depends on intracellular adaptors	[]		p6		FALSE	fact	3723	3787	
