	SentenceId	Clause Text	Codes	ExperimentValues	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	fig_spans
0	s1	Macrophage Pro-Inflammatory Response to Francisella novicida Infection Is Regulated by SHIP	[]		-		FALSE	implication	232	323	
1	s2	"Francisella tularensis , a Gram-negative facultative intracellular pathogen infecting principally macrophages and monocytes , is the etiological agent of tularemia ."	[]		p3		FALSE	fact	1424	1586	
2	s3	"Macrophage responses to F. tularensis infection include the production of pro-inflammatory cytokines such as interleukin ( IL ) -12 ,"	[]		p3		FALSE	fact	1587	1716	
3	s3	which is critical for immunity against infection .	[]		p3		FALSE	fact	1717	1766	
4	s4	Molecular mechanisms regulating production of these inflammatory mediators are poorly understood .	[]		p3		FALSE	fact	1767	1864	
5	s5	Herein we report that the SH2 domain-containing inositol phosphatase ( SHIP ) is phosphorylated upon infection of primary murine macrophages with the genetically related F. novicida	[]		p3		FALSE	fact	1865	2044	
6	s5	and negatively regulates F. novicida-induced cytokine production .	[]		p3		FALSE	fact	2045	2111	
7	s6	Analyses of the molecular details revealed	[]		p3		FALSE	method	2112	2154	
8	s6	"that in addition to activating the MAP kinases , F. novicida infection also activated the phosphatidylinositol 3-kinase ( PI3K ) /Akt pathway in these cells ."	[]		p3		FALSE	result	2155	2308	
9	s7	"Interestingly , SHIP-deficient macrophages displayed enhanced Akt activation upon F. novicida infection ,"	[]		p3		FALSE	result	2309	2412	
10	s7	suggesting elevated PI3K-dependent activation pathways in absence of SHIP .	[]		p3		FALSE	result	2413	2487	
11	s8	Inhibition of PI3K/Akt resulted in suppression of F. novicida-induced cytokine production through the inhibition of NFkappaB .	[]		p3		FALSE	result	2488	2613	
12	s9	"Consistently , macrophages lacking SHIP displayed enhanced NFkappaB-driven gene transcription ,"	[]		p3		FALSE	result	2614	2707	
13	s9	whereas overexpression of SHIP led to decreased NFkappaB activation .	[]		p3		FALSE	result	2708	2776	
14	s10	"Thus , we propose"	[]		p3		FALSE	hypothesis	2777	2793	
15	s10	that SHIP negatively regulates F. novicida-induced inflammatory cytokine response by antagonizing the PI3K/Akt pathway and suppressing NFkappaB-mediated gene transcription .	[]		p3		FALSE	hypothesis	2794	2966	
